cve_id,arm,k,action,target_rule_id,rules_hash_pre,rules_hash_post,rules_yaml_bytes_pre,rules_yaml_bytes_post,rules_yaml_changed,findings_hash,findings_changed_vs_k0
CVE-2026-25130,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,dbffb982b7c5db54,False
CVE-2026-25130,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,dbffb982b7c5db54,False
CVE-2026-25130,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,dbffb982b7c5db54,False
CVE-2026-26331,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-26331,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-26331,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-26331,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-34955,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,04a6b0d64164179f,False
CVE-2026-34955,semgrep,1,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,04a6b0d64164179f,False
CVE-2026-34955,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,04a6b0d64164179f,False
CVE-2026-34955,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,04a6b0d64164179f,False
CVE-2026-34935,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,680dfffd91973774,False
CVE-2026-34935,semgrep,1,keep,,26b623d77a827839,26b623d77a827839,2455,2455,False,680dfffd91973774,False
CVE-2026-34935,semgrep,2,keep,,26b623d77a827839,26b623d77a827839,2455,2455,False,680dfffd91973774,False
CVE-2026-34935,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,680dfffd91973774,False
CVE-2026-35043,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-35043,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-35043,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2026-35043,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
